,E v RHE / (V),norm. activity / (A/F)
61,1.3221949853200001,0.0002905668084390108
62,1.328146719612756,0.0003201493794815772
63,1.3420237609599999,0.0004611866111983627
64,1.35238458354,0.0006977251994380167
65,1.36229736884,0.0012315311864831513
66,1.37205837886,0.0020818012236084186
67,1.3823375527200001,0.003257657610372829
68,1.3922550308,0.004627381881032947
69,1.4021459935399998,0.00713871153841432
70,1.42217683022,0.013159533639044178
71,1.3919185554399998,0.005147917536491171
72,1.3822325168799998,0.003309240034105783
73,1.37234162966,0.0019104391238517903
74,1.3622915308399999,0.0008823332145157198
75,1.3522566913,0.00046121448947204026
76,1.3421712256399998,0.00017668454636216323
77,1.33225943012,6.598948766301698e-05
78,1.40206690042,0.007572794809659247
79,1.3325325333,0.00012180056287142757
80,1.3421438308200002,0.00034771644854314406
81,1.3521615001799998,0.0007295059675713456
82,1.3621471192199999,0.0014533624931440882
83,1.3721856979599998,0.002986396320141998
84,1.3821337745,0.0065002348392344846
85,1.39220573702,0.012233185998002445
86,1.4022413774000002,0.021707861236442635
87,1.42231574586,0.056892294435067485
88,1.43247824734,0.08182637139027146
89,1.40238212544,0.01857267157495224
90,1.3924590398599999,0.010096124268530652
91,1.38221786616,0.005253349253387441
92,1.3723112604799999,0.002575148824386156
93,1.36228088638,0.00131359080911685
94,1.3523095717400002,0.0006599512264252144
95,1.3422165523599998,0.0003428767947075464
96,1.3322647713400002,0.00021533829535470793
97,1.31905232058,5.9020162132053545e-05
98,1.32851703038,0.00014833585873619823
99,1.3399124624799998,0.0003743013070660278
100,1.34985107734,0.0009598510876225606
101,1.3489563762,0.0009518568017281051
102,1.3595727906,0.0022883290596137653
103,1.3694119009599999,0.005110186276569581
104,1.37903506398,0.009905311804517713
105,1.3900138202799999,0.01655561135024704
106,1.40017063588,0.025041793329376963
107,1.40736906284,0.03841281637600831
108,1.39854117408,0.02661394614809599
109,1.3884540274800001,0.016514429929102424
110,1.3796922571999999,0.008950276129869374
111,1.3799145016000003,0.008805205362772656
112,1.3685012145,0.004132468714496599
113,1.35828537456,0.001746928286342766
114,1.34753393712,0.0007257968556929195
115,1.3394808306400001,0.0002851261974763897
116,1.32863267374,0.00010697570494127019
117,1.31899833318,3.1672802339296365e-05
118,1.3292496541799999,0.00012166064559795282
119,1.3407355483999999,0.00034645456074524543
120,1.3409751536399999,0.0003358815776380384
121,1.3499650045,0.0008579540937299646
122,1.35932257936,0.0021214539537857974
123,1.3674835831999999,0.00545113081066461
124,1.38919832534,0.03458139059690706
125,1.39866433376,0.06596756092910334
126,1.3893047758800001,0.029949570579797732
127,1.364592632314743,0.011137463233097805
128,1.36836706658,0.004068705259175642
129,1.3602589434799999,0.0015960311843395659
130,1.3489484395199998,0.0006570950406766774
131,1.3410252863999998,0.0002757489403191683
132,1.32909013344,0.00011255151293269052
133,1.3187013072,3.2400723476020725e-05
134,1.31081600096,8.075886668624e-06
135,1.3787073984349594,0.014154616720778706
136,1.4491602370199999,0.05529089540003235
137,1.43586918546,0.042359288316581825
138,1.40939753496,0.019465763450688237
139,1.3897708211599997,0.00695384618229785
140,1.38966070894,0.006849962424735136
141,1.3688001092,0.0015396938477435333
142,1.3490068544799998,0.0002790841922815645
143,1.3389925044400002,0.00012546889668467687
144,1.32886972126,5.5908749318508244e-05
145,1.319475288244898,3.246842306874958e-05
146,1.31909890474,2.5507978929672402e-05
147,1.32919936622,8.86134355745882e-05
148,1.33889761392,0.000182922319449201
149,1.35888392472,0.0009352959780383297
150,1.37956325774,0.0041815171065599606
151,1.39899775618,0.014332634596708959
152,1.4292067747000001,0.05163685281673785
153,1.3293361532399999,0.00013997168495546682
154,1.33918900008,0.00021990260864969478
155,1.35927542606,0.0008517170591110375
156,1.3792964945,0.003586095183926975
157,1.3992174875,0.013400981719862582
158,1.42932131762,0.05975259345440387
159,1.4290213539399996,0.026952587019020247
160,1.39966006984,0.008427466286054364
161,1.3787057641000002,0.0022623297691537615
162,1.3590207509400003,0.00041235947828459417
163,1.3396241019,7.181652187026531e-05
164,1.3289385074395161,4.7049470010200196e-05
165,1.3293415141599998,0.0002695862210306118
166,1.33911984546,0.00029516043512919655
167,1.35923752094,0.0005433130955625483
168,1.3793012453000002,0.001995178352458604
169,1.3991094189199997,0.0074405828918165775
170,1.42913384998,0.03734216567428017
171,1.37905855232,0.0024128107828055665
172,1.3692601894,0.0012079079904376607
173,1.3592831904999998,0.0005879786357916058
174,1.349696579,0.00033207883790736234
175,1.33905513806,0.00016337143556609287
176,1.3287327744200002,7.580598109083907e-05
177,1.3291610859799998,0.0002137165611738045
178,1.3390610141600001,0.00019257646412581322
179,1.35891142204,0.0004503772077097671
180,1.3791101726,0.00205297941715833
181,1.39937954682,0.00838272580821312
182,1.4291357210400002,0.031186798476516776
183,1.3990275026199999,0.009113254809323396
184,1.3790502712600001,0.00220549243033372
185,1.3590571694799998,0.0004428362257405372
186,1.34916078982,0.0001891515147066783
187,1.33926025114,9.143921569529427e-05
188,1.3292766142999999,5.1081862029134124e-05
189,1.3191161370999998,2.4714689082726095e-05
190,1.30895737474,7.979345408453483e-06
191,1.3293603898119999,0.00011816387443702913
192,1.339004497886,1.918249932090557e-05
193,1.3594555209659998,0.00015693160517064726
194,1.379534888524,0.0012785318146884747
195,1.3995847643880002,0.00579779094617728
196,1.4288214016079999,0.022030269626531727
197,1.33864132664,5.1741290755994434e-05
198,1.34896163,0.00011991927056219036
199,1.3387317871,4.6444511902356744e-05
200,1.32881061064,1.7714845381159566e-05
201,1.3189707358599998,6.4082853443840925e-06
202,1.3087332621399999,2.187596904956804e-06
203,1.2989107868599998,7.725347461145845e-07
204,1.29877579922,8.757948271037057e-07
205,1.2884217676,3.8344970850988547e-07
206,1.2876300834999999,2.5824240685435825e-07
207,1.2887447764,2.2806193319010036e-07
208,1.2888355439599999,2.3837498351575787e-07
209,1.3188933851063827,2.9366644658580285e-05
210,1.3290696555646817,7.169210908571586e-05
211,1.3391130475800002,0.0002045360676982893
212,1.3191021265263156,4.296062593841622e-05
213,1.3289147806860706,9.680829788633884e-05
214,1.339176707086777,0.00024358461855125362
215,1.349013919447853,0.000581255998402373
216,1.33915436774,0.00025564639600103865
217,1.3289526071599997,8.818688120950128e-05
218,1.3191207029122054,3.3063884497801605e-05
219,1.3088461889399998,1.2864572273582574e-05
220,1.2990658997940503,8.807808080389218e-06
221,1.2990690726611225,6.491236532632146e-06
222,1.3892288301000004,0.008805958349323361
223,1.3989824006,0.012756144682399355
224,1.4092239539,0.02158481322447002
225,1.4188733642000002,0.037892926224279214
226,1.4291635652000003,0.06812079465143378
227,1.4190154858000001,0.0378975198852277
228,1.4090713390000003,0.02106409722506817
229,1.3989207814999998,0.01103566575917879
230,1.3890275682000004,0.0058199684278052695
231,1.3793047119999997,0.0031360901788914687
232,1.3691013079999999,0.0017032646660734138
233,1.3591895895000006,0.000941581956484631
234,1.3492834094999997,0.0004707335070745233
235,1.3392740181,0.0002443980858649753
236,1.3290772928,0.00020824762079413924
237,1.4189490998000003,0.03968687767960903
238,1.429288898,0.07262473169007139
239,1.4391058058000004,0.1259534284497025
240,1.449120920990099,0.21364979399447023
241,1.38985991554,0.003848090917238494
242,1.39935949728,0.0057112128058626485
243,1.40920261546,0.009233282726569586
244,1.4192481369999999,0.01596257199677377
245,1.4293955668600002,0.026399238167198316
246,1.419472671,0.015090513480586104
247,1.40898239428,0.008184469764160977
