ixdat version = 0.2.3
name = 01 Reshma1A 18H28 18H28_RuO2.pkl
technique = EC-MS
tstamp = 1535470034.0204
backend_name = BackendBase(none, address=none)
id = 1
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M32' and 'M72' and 'M44' and 'M2' and 'M34' and 'M20' and 'M40' and 'M4' and 'M36' and 'M18' and 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["I/mA"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M32,	M72,	M44,	M2,	M34,	M20,	M40,	M4,	M36,	M18,	M28
54,	0.654940182766704,	0.0017039517298648266,	0.0,	1.0124750897146293e-10,	1.9269762535594353e-13,	3.750325009162097e-12,	1.859743412440328e-11,	1.3398988893181379e-12,	2.7588090964690867e-11,	6.53519204485439e-13,	5.7859300058198845e-09,	3.5356572887813985e-13,	4.6119934928841536e-10,	1.9476865703366516e-11
56,	0.6437793560217329,	-0.0015755984802377034,	0.0,	7.128175195292915e-11,	1.945655920972383e-13,	3.860400450748567e-12,	1.9145547908474422e-11,	1.099574542050168e-12,	2.7249119656930643e-11,	6.985339241700577e-13,	5.82248120646889e-09,	3.1662572495189417e-13,	4.566606383377081e-10,	1.942089708879967e-11
58,	0.6366673702496303,	-0.0036555795931947047,	0.0,	5.0114346288011924e-11,	2.0250844307554558e-13,	3.639755060825112e-12,	1.8849617615834512e-11,	1.079641801838289e-12,	2.7721267595265487e-11,	7.07532457154819e-13,	5.853317593989902e-09,	3.0066506327707514e-13,	4.5694316071716625e-10,	1.8896864369312578e-11
60,	0.6234674673461181,	-0.004804433706462356,	0.0,	3.505144513535833e-11,	2.0025698873456936e-13,	3.680271822670911e-12,	1.9245537764751466e-11,	9.158321878271974e-13,	2.7788648467358213e-11,	7.142393816161199e-13,	5.873744235287519e-09,	3.189807902706778e-13,	4.580240187811404e-10,	1.90611625595242e-11
62,	0.6127625174705462,	-0.005443961395032333,	0.0,	2.6215074609563437e-11,	1.9132586610233268e-13,	3.600678199219654e-12,	1.8573992365567277e-11,	9.49793942634529e-13,	2.7266445945486678e-11,	6.512362594465296e-13,	5.87513340004412e-09,	3.363340089514039e-13,	4.556936020153942e-10,	1.920656295270491e-11
64,	0.6058544992585073,	-0.006026554478574894,	0.0,	2.0716620876773555e-11,	1.923027655896727e-13,	3.3361911551254336e-12,	1.847251514429423e-11,	9.256631527225577e-13,	2.7637485069710872e-11,	6.582292987705409e-13,	5.905864627375719e-09,	2.909632405216547e-13,	4.599283666840829e-10,	1.9231522720298067e-11
66,	0.5940423085205535,	-0.006483206201355979,	0.0,	1.7753302528328225e-11,	1.932796650770127e-13,	3.5143580625989176e-12,	1.8870580903709127e-11,	8.872005238008058e-13,	2.8051161130780264e-11,	6.461249150628848e-13,	5.910982910468207e-09,	3.0693672635488027e-13,	4.596406560815906e-10,	1.8937960477706103e-11
68,	0.5829541152667248,	-0.00676088231889521,	0.0,	1.5800208197462213e-11,	1.9425656456435272e-13,	3.3433775771976307e-12,	1.823249320103868e-11,	8.148108147245385e-13,	2.785216724306957e-11,	6.79852253770567e-13,	5.911658022087003e-09,	2.955486378508599e-13,	4.6003691119041587e-10,	1.917272743688986e-11
70,	0.5749632767589268,	-0.0069006257145969125,	0.0,	1.4790056357995405e-11,	1.9600937205999092e-13,	3.212062589820889e-12,	1.9023929143553143e-11,	8.733937957563811e-13,	2.7380038935987898e-11,	6.659166425259685e-13,	5.894372280577133e-09,	3.247894490388103e-13,	4.564499607765967e-10,	1.9226120499103247e-11
72,	0.5669286532732994,	-0.007040932078426699,	0.0,	1.3777369796974682e-11,	2.001731572349187e-13,	3.0629429074522074e-12,	1.8680141996486752e-11,	9.129016992069334e-13,	2.757205337044324e-11,	6.464295850809611e-13,	5.893176506452213e-09,	3.297164736001121e-13,	4.553221329931372e-10,	1.9101191325967067e-11
74,	0.5527080932179587,	-0.007133491165171884,	0.0,	1.3747190903249487e-11,	1.969616422837937e-13,	3.0868554580206755e-12,	1.832853637037224e-11,	9.24559772295596e-13,	2.751950784314797e-11,	6.560406040487816e-13,	5.9148811813116595e-09,	3.1189226625715924e-13,	4.568633416511854e-10,	1.9471654752587478e-11
76,	0.5442108529099585,	-0.007205900607651551,	0.0,	1.3068493103862114e-11,	1.9300416460145834e-13,	2.9370084426758805e-12,	1.8734722915643154e-11,	8.520634336154772e-13,	2.728650652835151e-11,	7.15838137383949e-13,	5.885190570415547e-09,	2.952055649087925e-13,	4.5545193381666147e-10,	1.9389632602330324e-11
78,	0.5343316265918406,	-0.007290977577073674,	0.0,	1.319207637833704e-11,	1.8688483323736225e-13,	2.903499157811686e-12,	1.8659722814559863e-11,	8.797875815292381e-13,	2.7470490463017972e-11,	5.976211384404733e-13,	5.902776198340447e-09,	3.132187597850373e-13,	4.564388149250718e-10,	1.907062777477318e-11
80,	0.523885488691974,	-0.007322775361736783,	0.0,	1.2908106544932294e-11,	1.8834341070205487e-13,	2.8168049176085127e-12,	1.8309946110450587e-11,	8.575871448444592e-13,	2.7736326756041026e-11,	6.919820858732827e-13,	5.919135338278971e-09,	3.056838976948374e-13,	4.571908337252997e-10,	1.91832480874047e-11
82,	0.5141089436525474,	-0.007390936785309217,	0.0,	1.3061750984803208e-11,	1.912466986729203e-13,	2.6706990573927613e-12,	1.8940837285849256e-11,	7.591842484743552e-13,	2.8017155272168875e-11,	6.418325800577351e-13,	5.9082113886708055e-09,	3.3213876262535727e-13,	4.6083737052459464e-10,	1.9180389516424838e-11
84,	0.5043970913703582,	-0.007472956827331639,	0.0,	1.2335219782018688e-11,	1.9414998664378575e-13,	2.643495215689614e-12,	1.865706878152571e-11,	8.881538186262573e-13,	2.7611498350590367e-11,	6.837031974144593e-13,	5.911339366433963e-09,	3.112801912030868e-13,	4.5945468289358145e-10,	1.944029356869328e-11
86,	0.49454610395022536,	-0.007584303870554748,	0.0,	1.233927657163742e-11,	1.970532746146512e-13,	2.6246706856018753e-12,	1.871775803133136e-11,	8.270169462098326e-13,	2.7795715060617028e-11,	6.422082462025181e-13,	5.9188221116374836e-09,	3.1325852090878774e-13,	4.6026729221077127e-10,	1.8466985427879186e-11
88,	0.48574296767882275,	-0.004501571433819804,	0.0,	1.2248170616373504e-11,	1.912366020377783e-13,	2.7194065314697488e-12,	1.866564225080688e-11,	8.775910606079669e-13,	2.7634207675968337e-11,	6.822511232292324e-13,	5.895050743915106e-09,	2.9578415375582306e-13,	4.5688255207686535e-10,	1.915170269050425e-11
90,	0.49834030942790286,	0.0056874300158403415,	0.0,	1.1983535613376611e-11,	1.9175821648350954e-13,	2.5852398192370265e-12,	1.8739163942002962e-11,	8.427778187408648e-13,	2.748927913061467e-11,	7.312114916828244e-13,	5.9147670993755685e-09,	2.941963709530398e-13,	4.610056521583282e-10,	1.905587871389975e-11
92,	0.5071938942625774,	0.007530987297468074,	0.0,	1.1860640668591144e-11,	1.932281461050024e-13,	2.5164854293624674e-12,	1.8532058770707168e-11,	8.189376903346227e-13,	2.7526819275329293e-11,	6.67672616843769e-13,	5.913913329010167e-09,	3.165984823209998e-13,	4.603946232685849e-10,	1.940463698488935e-11
94,	0.5181127174557852,	0.00810444425952209,	0.0,	1.2059419762147237e-11,	1.9469807572649525e-13,	2.4637672417721917e-12,	1.8171531076308512e-11,	7.414886021047615e-13,	2.773222811653944e-11,	6.070091519272154e-13,	5.920707136808378e-09,	2.951678070264332e-13,	4.57879337197847e-10,	1.9454997491305337e-11
96,	0.5280003228374666,	0.008392783486363934,	0.0,	1.2303827089679986e-11,	1.961680053479881e-13,	2.3548453354678724e-12,	1.8974255343320148e-11,	7.920977641933537e-13,	2.7788441460235354e-11,	6.539978297858752e-13,	5.915493781038673e-09,	3.1683743571599005e-13,	4.580906276894392e-10,	1.9266043209131562e-11
98,	0.5366818210739562,	0.008611867970431324,	0.0,	1.1766384283066183e-11,	1.9943675298745714e-13,	2.361157205643945e-12,	1.9052070634983844e-11,	8.275284564825981e-13,	2.7954339065273825e-11,	6.884152453162276e-13,	5.901980877886847e-09,	2.969359528864086e-13,	4.5783972679346375e-10,	1.898898741196212e-11
100,	0.5495912289869994,	0.008748091347671171,	0.8379865945854403,	1.1715777018686795e-11,	1.985760385239999e-13,	2.343669757407661e-12,	1.8968758157401853e-11,	8.926248075892487e-13,	2.783514770288024e-11,	7.03313646093566e-13,	5.915618264838256e-09,	2.969847421381296e-13,	4.592767565286929e-10,	1.8889415367708114e-11
102,	0.556794974967496,	0.00877416229969741,	1.0,	1.1659110636954554e-11,	1.9771532406054269e-13,	2.383728039954994e-12,	1.8810681516350362e-11,	8.020484736808154e-13,	2.7092087406246778e-11,	6.583854468930956e-13,	5.90322481598296e-09,	2.9784024922263457e-13,	4.57607435394817e-10,	1.912486952799106e-11
104,	0.5685431269458382,	0.008851676545054121,	1.0,	1.1705797164192551e-11,	1.9102331079730207e-13,	2.208802940375575e-12,	1.8569633164942158e-11,	8.347868765891497e-13,	2.765943740993408e-11,	7.001954978239835e-13,	5.9175280188780935e-09,	2.9436336579919043e-13,	4.571450276824848e-10,	1.9071128301936598e-11
106,	0.578006278433042,	0.008938261831142961,	1.0,	1.1544619534205612e-11,	1.8987781469451135e-13,	2.2771102939854833e-12,	1.9096337678969753e-11,	7.526018574967189e-13,	2.741933418084204e-11,	6.697847196817207e-13,	5.8982298414055965e-09,	3.1057223105321996e-13,	4.5681503350398135e-10,	1.9053400353993526e-11
108,	0.5881822204464386,	0.00905285292344915,	1.0,	1.1785856309805017e-11,	1.9492790530173569e-13,	2.363605355350779e-12,	1.8670505439734725e-11,	7.839704512513113e-13,	2.735468828891598e-11,	6.298974283331454e-13,	5.900374064655387e-09,	3.233606087953652e-13,	4.53704348853874e-10,	1.9111153550493085e-11
110,	0.5982841373453258,	0.009194398949887281,	1.0,	1.1671953323250585e-11,	1.9686725134959985e-13,	2.320734877140921e-12,	1.8835064959915145e-11,	7.752373728896574e-13,	2.701965922610505e-11,	6.800254469871788e-13,	5.901380836047559e-09,	3.192390476344224e-13,	4.549155570588483e-10,	1.92282271823387e-11
112,	0.6072323376185327,	0.0093792835020369,	1.0,	1.1579934357087905e-11,	1.9256896226939265e-13,	2.2052177155545406e-12,	1.8836423572159327e-11,	8.216569220485721e-13,	2.803152956087733e-11,	6.358660191022492e-13,	5.912344329377758e-09,	3.361126750269394e-13,	4.572187914009431e-10,	1.926269136300012e-11
114,	0.6196334543625583,	0.009606140632832803,	1.0,	1.1774301359895434e-11,	1.9225265557941073e-13,	2.2407167966267768e-12,	1.8643194063242005e-11,	7.914625112273038e-13,	2.741673347552228e-11,	6.204581969275149e-13,	5.921166048980127e-09,	3.049446552439694e-13,	4.5918595038596056e-10,	1.908523941484205e-11
116,	0.6263450823665165,	0.009993416725738313,	1.0,	1.1403773562213145e-11,	1.919363488894288e-13,	2.195431207731184e-12,	1.890081975434101e-11,	8.598424264164618e-13,	2.7926025311305582e-11,	7.23145916586927e-13,	5.9168148870700155e-09,	3.3186445100317576e-13,	4.612044792329967e-10,	1.9630434201266762e-11
118,	0.6382700293249453,	0.010559963397351517,	1.0,	1.1675102573298137e-11,	1.925099638294807e-13,	2.3717603025276416e-12,	1.8734411238871262e-11,	8.137151309692293e-13,	2.7888214924311346e-11,	8.468996554739211e-13,	5.902293970133744e-09,	3.1084970221932166e-13,	4.5561122132202094e-10,	1.8929356830950378e-11
